Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
53,No,Travel_Rarely,938,Human Resources,4,1,Technical Degree,1,Female,88,3,5,Sales Executive,1,Married,17988,15985,3,No,21,4,2,1,27,4,3,11,11,0,16
57,No,Travel_Rarely,875,Sales,19,3,Life Sciences,2,Male,46,4,1,Research Scientist,2,Married,1987,22339,9,Yes,14,3,1,1,15,2,3,24,11,6,14
41,No,Travel_Rarely,1148,Research & Development,18,1,Marketing,2,Male,39,4,2,Manager,4,Divorced,1739,11432,5,No,12,3,4,2,26,3,4,10,16,12,2
20,Yes,Travel_Rarely,771,Research & Development,25,1,Medical,1,Male,47,3,1,Manager,2,Married,1065,11843,6,No,22,3,3,3,2,1,3,21,18,6,4
39,No,Travel_Rarely,819,Human Resources,6,2,Medical,1,Male,51,4,5,Sales Executive,3,Single,3252,12443,9,Yes,22,3,3,2,20,6,2,33,8,4,12
19,Yes,Travel_Rarely,411,Research & Development,19,3,Medical,2,Male,87,3,5,Sales Representative,1,Married,2710,15676,4,Yes,24,3,1,2,37,1,1,12,11,1,5
41,No,Travel_Rarely,700,Research & Development,25,5,Technical Degree,3,Female,82,4,5,Research Director,3,Married,18679,13737,7,No,12,3,4,1,37,1,2,37,16,13,8
47,No,Travel_Rarely,368,Research & Development,4,5,Life Sciences,2,Male,30,2,1,Research Scientist,3,Single,9312,26969,5,No,22,3,2,1,29,4,3,11,9,0,6
55,Yes,Travel_Rarely,747,Research & Development,4,4,Human Resources,1,Female,90,4,4,Research Director,3,Married,16109,14339,4,No,13,3,3,0,21,6,1,38,18,12,12
19,No,Travel_Rarely,1392,Research & Development,24,1,Life Sciences,1,Male,60,4,2,Human Resources,2,Divorced,14007,9993,3,No,12,3,3,1,18,4,1,35,10,4,4
38,No,Travel_Frequently,1458,Research & Development,7,4,Technical Degree,1,Male,60,2,2,Manager,4,Single,10402,9239,5,No,11,3,4,2,30,5,3,27,12,9,15
50,No,Travel_Rarely,1124,Research & Development,7,2,Medical,3,Male,95,2,5,Healthcare Representative,3,Married,1956,7955,5,No,24,3,3,3,19,4,3,26,3,3,3
29,Yes,Travel_Rarely,551,Sales,26,5,Marketing,1,Female,48,4,3,Human Resources,1,Married,7562,15145,5,Yes,18,3,4,2,18,5,2,38,14,8,4
39,Yes,Travel_Frequently,666,Sales,23,1,Medical,4,Female,82,1,1,Human Resources,2,Single,1766,18726,0,Yes,22,3,4,2,1,5,2,12,11,15,5
42,No,Travel_Rarely,1372,Sales,26,2,Human Resources,4,Female,51,1,4,Sales Executive,4,Married,15875,14415,5,No,15,3,2,2,39,2,4,39,9,4,3
44,No,Travel_Rarely,1161,Sales,16,2,Other,3,Male,52,3,5,Laboratory Technician,3,Married,12589,6417,0,No,20,3,4,1,38,2,4,26,6,10,0
59,No,Travel_Rarely,129,Sales,27,1,Marketing,1,Male,44,4,3,Human Resources,1,Divorced,6660,25579,4,Yes,11,3,1,2,26,2,4,30,1,9,16
45,No,Non-Travel,321,Human Resources,16,2,Medical,1,Female,55,3,5,Research Scientist,3,Single,8282,4954,6,Yes,23,4,2,0,7,2,3,1,6,11,8
33,Yes,Non-Travel,507,Sales,5,1,Marketing,4,Female,32,2,3,Manufacturing Director,4,Married,11042,19201,0,Yes,19,4,4,3,26,0,3,17,7,11,15
32,No,Non-Travel,372,Research & Development,15,1,Other,4,Male,49,4,2,Manufacturing Director,4,Single,4544,17013,0,No,18,3,4,1,14,2,4,25,18,1,1
20,No,Non-Travel,893,Sales,23,3,Life Sciences,2,Female,69,2,3,Research Scientist,3,Divorced,19686,2663,5,No,14,4,2,2,11,2,4,30,5,3,10
54,No,Travel_Rarely,1064,Research & Development,4,4,Technical Degree,3,Male,68,4,2,Laboratory Technician,3,Married,18497,10505,6,Yes,18,3,3,0,13,2,2,37,7,12,4
24,Yes,Non-Travel,1411,Human Resources,24,2,Medical,2,Male,47,4,2,Laboratory Technician,2,Married,9862,11680,5,Yes,23,3,2,3,6,5,4,21,3,11,12
38,No,Travel_Rarely,935,Research & Development,25,2,Human Resources,3,Male,70,2,1,Sales Executive,4,Single,1917,21312,4,Yes,22,3,3,2,16,1,4,35,8,8,16
26,Yes,Travel_Rarely,418,Research & Development,13,3,Life Sciences,1,Male,99,4,3,Manager,4,Married,5626,26406,5,Yes,23,3,2,3,25,6,1,18,4,7,14
56,No,Travel_Rarely,1422,Sales,28,3,Medical,1,Male,56,4,4,Research Director,3,Single,11057,25149,2,No,20,3,2,1,36,1,4,13,5,2,11
35,No,Non-Travel,439,Research & Development,19,3,Life Sciences,3,Male,44,3,4,Laboratory Technician,1,Divorced,3320,4216,8,Yes,17,3,1,1,19,1,1,13,18,7,5
21,No,Travel_Rarely,1432,Sales,7,5,Human Resources,2,Male,66,2,3,Healthcare Representative,3,Married,17029,22478,4,No,21,3,2,0,9,3,4,28,11,15,12
42,No,Non-Travel,452,Human Resources,12,5,Medical,4,Male,87,1,1,Sales Executive,3,Married,18182,16503,1,No,25,3,1,1,18,0,1,16,4,12,17
31,No,Travel_Rarely,612,Sales,26,5,Other,3,Male,34,1,4,Sales Representative,4,Married,14594,5183,9,No,21,3,4,0,17,5,4,36,4,1,14
26,No,Travel_Rarely,626,Research & Development,9,1,Other,3,Female,36,4,5,Sales Executive,2,Married,15026,16336,9,Yes,17,3,3,2,29,4,2,8,17,2,14
43,No,Travel_Rarely,593,Research & Development,17,2,Human Resources,3,Male,70,3,4,Human Resources,3,Married,17564,25643,6,Yes,11,3,3,3,29,5,3,0,5,13,7
19,No,Non-Travel,110,Sales,2,4,Marketing,1,Male,39,4,1,Research Director,1,Married,13561,9304,2,Yes,16,3,1,1,24,2,1,3,8,4,13
37,No,Travel_Rarely,662,Sales,16,1,Human Resources,3,Male,91,3,2,Sales Representative,1,Married,14346,18527,0,No,23,3,3,3,23,1,3,6,10,10,6
45,No,Travel_Rarely,541,Sales,7,2,Marketing,1,Female,55,4,2,Sales Representative,3,Married,2894,2608,2,No,14,3,3,3,9,5,2,10,13,11,13
24,No,Travel_Rarely,893,Sales,29,2,Medical,4,Male,97,1,2,Healthcare Representative,1,Married,2058,13077,8,Yes,24,3,2,2,1,0,4,13,1,13,4
25,No,Travel_Rarely,1233,Research & Development,18,3,Marketing,4,Male,53,2,1,Healthcare Representative,1,Single,11512,13064,4,No,20,3,1,2,37,2,4,18,13,9,14
52,No,Travel_Frequently,1370,Sales,7,3,Medical,2,Male,70,3,2,Healthcare Representative,3,Divorced,2170,12904,6,Yes,20,3,3,1,31,3,2,39,18,9,14
31,No,Travel_Rarely,1380,Research & Development,1,1,Medical,1,Female,94,4,2,Sales Executive,1,Married,1824,12123,2,Yes,20,3,4,2,34,4,3,2,9,7,3
34,No,Travel_Frequently,134,Sales,3,3,Technical Degree,4,Male,46,4,1,Research Director,1,Married,4775,6765,3,No,21,4,1,3,36,2,3,7,4,0,0
53,No,Non-Travel,1148,Research & Development,21,2,Medical,4,Male,53,3,5,Sales Executive,3,Divorced,4248,26227,0,Yes,22,3,2,0,6,6,3,28,3,3,16
57,No,Non-Travel,946,Sales,28,3,Marketing,2,Male,56,3,4,Manufacturing Director,4,Single,14951,19643,2,No,12,3,4,0,6,4,3,36,6,15,0
21,Yes,Travel_Rarely,667,Sales,11,5,Technical Degree,2,Male,36,1,1,Human Resources,2,Divorced,9281,12535,6,No,20,3,3,0,26,5,1,8,12,0,15
19,Yes,Travel_Rarely,150,Sales,22,3,Technical Degree,2,Female,41,3,1,Human Resources,2,Divorced,1878,2508,3,No,17,3,3,1,9,2,3,18,9,0,12
23,No,Travel_Rarely,563,Research & Development,15,2,Medical,1,Female,32,4,3,Healthcare Representative,4,Divorced,6535,17187,1,No,19,3,1,2,32,3,1,11,9,11,17
59,No,Non-Travel,691,Research & Development,29,1,Human Resources,3,Female,39,1,2,Manufacturing Director,3,Divorced,8750,19582,4,No,23,3,3,2,6,5,2,26,3,4,9
21,No,Travel_Rarely,437,Research & Development,25,4,Human Resources,1,Female,62,1,5,Laboratory Technician,4,Married,5703,23336,4,No,15,3,1,2,5,0,4,36,15,5,17
46,Yes,Travel_Rarely,1483,Sales,25,3,Other,2,Male,75,2,3,Laboratory Technician,2,Single,2943,21834,1,No,18,3,3,2,5,4,1,24,14,14,16
35,No,Travel_Rarely,1247,Research & Development,3,2,Technical Degree,3,Male,88,2,5,Healthcare Representative,2,Married,18096,4510,5,Yes,15,4,4,3,12,4,3,37,10,0,8
43,No,Travel_Rarely,460,Research & Development,24,4,Medical,4,Female,81,2,2,Sales Executive,2,Single,17327,7705,9,No,24,3,2,0,12,0,4,16,18,10,13
51,No,Travel_Frequently,447,Sales,13,4,Human Resources,1,Male,35,3,2,Healthcare Representative,2,Single,19916,17325,3,No,17,3,4,3,1,6,1,32,2,5,12
27,No,Travel_Rarely,294,Research & Development,4,5,Medical,2,Female,31,1,2,Manager,3,Divorced,7168,23943,0,No,17,3,2,1,18,4,4,38,14,4,13
53,No,Travel_Rarely,857,Human Resources,23,4,Medical,2,Male,58,3,4,Sales Representative,2,Single,16728,10489,2,No,19,3,1,0,18,5,2,13,15,15,10
31,Yes,Travel_Rarely,1271,Sales,22,2,Technical Degree,3,Male,69,1,5,Human Resources,2,Divorced,14002,25670,8,Yes,13,3,3,0,37,1,3,27,13,3,12
48,No,Travel_Rarely,579,Research & Development,8,2,Other,1,Female,90,4,5,Laboratory Technician,3,Divorced,14822,24150,9,No,24,3,4,3,1,6,2,17,4,9,16
32,No,Travel_Rarely,929,Research & Development,22,3,Technical Degree,4,Female,97,3,3,Research Scientist,4,Divorced,2173,10354,6,Yes,11,3,3,1,25,0,4,32,16,4,2
25,No,Travel_Rarely,991,Research & Development,4,3,Life Sciences,4,Female,97,1,1,Laboratory Technician,3,Married,1628,22041,5,No,12,3,1,1,5,3,2,14,17,7,0
31,No,Travel_Rarely,754,Sales,18,3,Human Resources,3,Male,58,2,2,Human Resources,2,Divorced,8991,24861,0,No,22,3,2,0,19,6,3,10,18,8,4
40,No,Travel_Rarely,509,Sales,7,4,Human Resources,3,Female,91,2,2,Sales Representative,1,Divorced,4075,14742,8,No,16,3,4,2,22,2,1,35,0,10,12
57,No,Travel_Frequently,387,Research & Development,11,4,Human Resources,4,Male,89,4,3,Human Resources,3,Married,9647,15436,8,No,24,3,2,1,14,2,2,14,8,15,4
38,No,Travel_Rarely,952,Human Resources,29,5,Marketing,3,Male,70,3,5,Research Scientist,3,Single,3346,16304,0,No,20,3,2,3,5,0,3,29,13,13,4
33,No,Travel_Rarely,212,Research & Development,27,3,Medical,3,Female,94,1,4,Healthcare Representative,4,Divorced,6603,8927,5,No,20,3,1,1,27,1,4,14,10,11,11
35,Yes,Travel_Rarely,721,Research & Development,4,1,Technical Degree,1,Female,93,2,5,Manufacturing Director,2,Divorced,3469,6846,6,No,22,3,2,0,34,5,2,22,1,1,1
41,No,Travel_Rarely,894,Research & Development,13,5,Human Resources,3,Male,92,1,4,Research Scientist,1,Married,7829,26601,1,Yes,23,3,1,2,10,3,1,14,4,5,15
43,No,Travel_Frequently,151,Research & Development,9,1,Life Sciences,2,Female,77,3,4,Human Resources,3,Single,4451,22263,9,No,24,3,2,1,7,2,2,28,14,2,16
42,No,Travel_Frequently,1139,Research & Development,9,4,Human Resources,2,Male,49,2,5,Human Resources,3,Married,17200,14072,7,Yes,19,3,2,0,23,2,4,10,11,14,4
58,No,Travel_Rarely,1259,Sales,23,5,Other,2,Male,66,4,2,Manager,3,Single,17335,10821,7,No,13,3,4,1,20,5,4,17,13,1,11
46,No,Non-Travel,689,Research & Development,21,5,Medical,3,Male,93,4,4,Manager,1,Divorced,11538,7117,5,No,20,3,1,2,35,1,4,39,10,11,14
32,No,Travel_Rarely,697,Research & Development,19,2,Medical,4,Female,34,3,3,Research Director,3,Divorced,18684,3076,8,No,12,3,3,3,6,4,2,30,8,13,5
18,No,Travel_Rarely,1468,Research & Development,3,4,Technical Degree,2,Male,63,3,3,Manager,3,Single,11399,16399,2,No,21,4,3,0,4,6,2,8,7,12,12
42,No,Travel_Rarely,771,Sales,25,4,Marketing,1,Female,68,1,4,Sales Executive,1,Married,15039,18240,1,No,11,3,3,0,28,0,2,21,11,0,10
24,No,Non-Travel,1411,Sales,25,5,Technical Degree,3,Male,96,4,2,Manufacturing Director,3,Single,6383,19823,1,No,12,3,4,2,15,1,1,10,2,3,16
26,No,Non-Travel,415,Sales,12,4,Human Resources,4,Female,91,3,4,Sales Representative,1,Married,14151,24169,5,Yes,13,3,4,0,5,1,3,16,14,7,8
41,Yes,Non-Travel,707,Research & Development,29,5,Other,4,Male,53,3,3,Research Scientist,4,Married,13213,24480,6,No,17,3,2,2,13,1,2,32,7,2,15
18,No,Travel_Rarely,398,Human Resources,11,2,Life Sciences,3,Female,32,4,3,Human Resources,1,Married,8403,13295,5,No,12,3,2,0,1,1,1,10,6,4,16
25,No,Travel_Rarely,670,Sales,20,5,Technical Degree,3,Male,96,1,5,Research Director,4,Married,18097,19004,2,Yes,23,4,3,2,24,4,4,38,16,13,17
41,Yes,Non-Travel,1289,Research & Development,11,4,Marketing,1,Female,79,1,2,Research Director,1,Single,1834,25125,4,No,15,4,2,1,30,5,2,7,11,9,12
28,No,Travel_Rarely,933,Research & Development,17,4,Technical Degree,3,Female,58,4,5,Sales Representative,2,Married,10205,25730,7,Yes,12,3,2,1,12,3,2,3,17,4,10
34,No,Travel_Rarely,711,Research & Development,29,5,Medical,3,Female,61,4,1,Manufacturing Director,3,Single,12661,19408,5,Yes,17,3,4,1,17,6,2,35,17,4,12
25,No,Travel_Rarely,117,Sales,26,5,Human Resources,4,Male,68,4,4,Research Scientist,4,Married,17769,20760,1,No,20,3,3,0,16,1,1,18,14,10,12
52,No,Travel_Rarely,1469,Research & Development,21,5,Human Resources,2,Female,38,4,5,Laboratory Technician,3,Single,1981,20424,6,Yes,18,3,1,2,27,6,2,23,2,8,11
52,No,Travel_Rarely,1203,Research & Development,14,3,Human Resources,2,Male,43,4,2,Manager,3,Married,12277,17459,7,No,18,3,3,2,11,1,2,40,18,14,13
50,Yes,Non-Travel,1471,Sales,16,4,Human Resources,4,Female,97,3,4,Healthcare Representative,1,Divorced,1452,12827,3,No,23,3,4,3,34,0,3,17,14,7,12
22,Yes,Travel_Rarely,173,Sales,24,4,Human Resources,3,Female,93,2,4,Research Director,2,Divorced,1763,12202,0,No,25,3,3,1,21,2,1,32,15,7,8
59,Yes,Travel_Frequently,371,Research & Development,10,3,Human Resources,1,Male,49,4,4,Manager,1,Divorced,17032,5454,1,No,18,3,1,3,38,4,3,35,16,12,13
56,Yes,Travel_Frequently,388,Human Resources,4,5,Life Sciences,2,Male,57,2,4,Manager,3,Divorced,11372,11879,3,No,20,3,2,1,0,1,3,9,0,12,0
58,No,Travel_Rarely,167,Sales,10,2,Marketing,3,Male,43,1,4,Sales Executive,1,Single,11906,10206,6,Yes,25,4,3,3,36,3,3,13,10,0,8
45,No,Travel_Rarely,981,Research & Development,26,5,Human Resources,2,Male,73,3,2,Manufacturing Director,4,Single,6405,18110,1,No,19,3,4,1,20,3,3,6,5,0,3
24,No,Travel_Frequently,169,Human Resources,20,5,Marketing,4,Female,68,2,1,Healthcare Representative,2,Married,4474,21403,5,Yes,11,4,4,2,0,3,4,11,8,1,11
26,Yes,Travel_Rarely,1318,Research & Development,29,3,Other,2,Male,57,1,3,Laboratory Technician,3,Divorced,3720,5719,1,No,22,3,3,1,3,0,2,21,15,13,13
25,No,Non-Travel,1180,Human Resources,12,4,Human Resources,4,Male,93,1,1,Human Resources,1,Divorced,19800,7563,6,No,11,3,2,0,31,3,3,26,5,7,8
29,No,Travel_Rarely,1081,Research & Development,9,5,Technical Degree,4,Male,61,1,3,Sales Executive,4,Single,6756,3317,1,No,24,3,2,1,0,5,1,36,11,9,2
51,No,Travel_Frequently,1075,Research & Development,15,4,Human Resources,4,Male,38,4,5,Manager,2,Married,19116,9204,2,No,25,3,4,1,12,0,2,10,18,0,5
50,No,Travel_Rarely,1293,Sales,9,1,Medical,1,Male,57,3,4,Manager,1,Single,2928,11251,8,No,24,3,4,2,16,4,3,35,12,14,2
40,No,Travel_Rarely,609,Sales,7,4,Life Sciences,3,Female,46,1,5,Healthcare Representative,1,Married,18311,15345,3,Yes,24,3,1,0,11,3,3,12,12,3,0
41,No,Travel_Rarely,938,Research & Development,26,2,Technical Degree,4,Male,84,4,5,Healthcare Representative,3,Married,14482,7086,4,Yes,20,3,2,2,6,2,1,31,3,8,2
54,No,Non-Travel,1227,Research & Development,24,2,Technical Degree,4,Female,39,2,3,Healthcare Representative,4,Single,17974,15740,8,No,12,3,3,3,2,1,4,7,8,1,13
52,No,Non-Travel,987,Sales,12,5,Medical,2,Male,35,3,2,Manager,2,Married,15244,13964,6,No,21,3,4,3,25,4,1,6,13,2,1
57,Yes,Travel_Frequently,895,Research & Development,28,4,Human Resources,3,Male,77,2,4,Research Director,1,Married,16719,6881,7,No,25,4,4,0,30,5,4,16,13,10,11
39,No,Travel_Rarely,523,Research & Development,20,5,Life Sciences,1,Female,96,2,5,Research Scientist,2,Married,15443,25296,2,No,16,3,4,3,35,2,4,21,16,5,9
44,No,Non-Travel,876,Research & Development,24,3,Technical Degree,1,Male,70,4,1,Manager,4,Single,14487,23204,3,No,24,3,4,0,25,4,4,33,4,12,12
52,No,Travel_Frequently,579,Research & Development,14,2,Life Sciences,2,Male,89,2,4,Sales Executive,3,Divorced,4890,20850,6,No,11,4,2,1,2,5,3,19,18,14,3
18,No,Travel_Rarely,1027,Research & Development,22,5,Technical Degree,1,Male,71,3,2,Manufacturing Director,3,Married,3008,13234,3,No,15,3,4,3,27,3,3,7,1,10,0
52,No,Travel_Rarely,221,Sales,16,3,Human Resources,2,Male,57,2,4,Laboratory Technician,3,Divorced,15858,5393,1,Yes,25,3,2,1,16,4,4,21,12,9,10
54,No,Travel_Rarely,1416,Sales,29,5,Other,3,Male,42,4,5,Human Resources,2,Divorced,11912,11454,9,No,15,3,1,2,37,4,4,26,10,2,15
31,Yes,Non-Travel,589,Sales,19,4,Technical Degree,2,Male,44,1,1,Laboratory Technician,2,Single,17793,8545,5,No,25,3,1,3,29,4,3,33,1,14,11
20,No,Travel_Rarely,1286,Sales,23,4,Other,2,Male,65,4,5,Manager,1,Single,15709,15035,8,No,25,4,3,2,1,0,4,20,0,14,2
18,No,Travel_Frequently,179,Research & Development,3,4,Technical Degree,4,Male,44,1,2,Sales Executive,4,Married,6454,18087,1,Yes,14,3,4,2,7,2,3,14,2,3,17
22,No,Non-Travel,1163,Research & Development,11,4,Marketing,1,Male,85,2,3,Manager,4,Single,3637,16714,0,No,21,3,3,0,13,6,4,4,11,8,16
43,No,Travel_Rarely,542,Sales,23,1,Human Resources,3,Male,33,1,1,Manufacturing Director,4,Divorced,19049,22287,7,No,15,4,2,2,36,5,3,37,6,8,4
31,No,Travel_Rarely,563,Research & Development,21,3,Medical,3,Male,81,4,2,Research Director,2,Married,18013,20885,0,No,22,3,3,0,34,3,1,16,0,9,15
56,No,Travel_Rarely,713,Sales,20,3,Other,4,Male,39,4,2,Human Resources,3,Divorced,1255,23342,0,No,11,4,3,0,38,1,4,7,8,4,13
44,No,Travel_Rarely,1419,Human Resources,19,4,Medical,2,Female,74,3,5,Manufacturing Director,4,Single,6221,15178,2,No,21,3,4,0,10,3,4,18,17,6,5
26,No,Travel_Rarely,1018,Human Resources,8,1,Human Resources,3,Male,58,3,5,Manager,1,Single,4348,7121,4,No,21,3,2,0,14,3,1,4,5,8,2
32,Yes,Travel_Rarely,1217,Sales,20,4,Medical,3,Female,82,1,5,Sales Executive,2,Married,3377,6354,8,Yes,16,3,2,0,1,0,2,22,8,7,5
32,No,Travel_Rarely,710,Research & Development,8,1,Human Resources,2,Male,58,1,3,Manufacturing Director,3,Single,13195,6922,9,Yes,17,4,4,1,36,0,4,18,7,10,11
43,No,Travel_Rarely,107,Sales,26,4,Medical,2,Female,52,3,4,Sales Representative,4,Married,2848,10866,1,Yes,18,3,2,0,31,4,2,13,17,6,10
59,No,Non-Travel,782,Research & Development,3,2,Other,3,Male,86,2,4,Sales Executive,3,Divorced,7214,11106,0,No,25,4,1,3,39,3,1,9,14,11,6
30,No,Non-Travel,996,Research & Development,10,2,Marketing,2,Female,79,3,5,Research Director,1,Married,5404,10409,0,No,12,3,4,0,12,2,4,30,0,7,0
49,No,Non-Travel,372,Sales,13,5,Medical,1,Female,50,2,5,Manager,4,Married,16299,16353,7,Yes,25,3,4,1,16,0,2,12,13,4,15
56,No,Travel_Rarely,912,Research & Development,9,4,Other,3,Male,72,1,3,Healthcare Representative,4,Single,4700,14725,9,No,25,3,4,3,14,5,4,21,17,4,15
49,No,Travel_Rarely,660,Sales,6,3,Technical Degree,2,Female,39,1,4,Human Resources,3,Married,8479,20352,9,No,17,3,1,3,32,0,4,36,18,4,16
21,No,Travel_Rarely,200,Sales,15,5,Human Resources,3,Male,59,4,3,Research Scientist,2,Divorced,4850,5217,9,No,16,3,2,1,15,2,3,38,18,15,14
47,No,Travel_Rarely,627,Research & Development,16,2,Life Sciences,3,Male,80,4,2,Healthcare Representative,3,Divorced,5357,6318,1,No,19,4,1,3,12,0,2,9,9,0,8
54,No,Travel_Rarely,295,Sales,5,4,Life Sciences,4,Female,62,2,4,Manager,1,Married,18785,23732,8,No,25,3,1,1,21,6,3,30,5,5,4
40,No,Travel_Rarely,1282,Research & Development,21,5,Human Resources,1,Female,47,2,5,Sales Representative,3,Divorced,7069,21676,8,Yes,18,3,1,2,22,2,3,34,16,4,7
56,Yes,Travel_Rarely,1240,Research & Development,13,4,Marketing,1,Male,51,3,1,Healthcare Representative,3,Married,16534,13071,1,No,24,4,3,2,35,6,2,12,13,7,0
32,Yes,Travel_Frequently,497,Human Resources,19,2,Medical,4,Male,93,2,2,Human Resources,4,Single,5309,25560,2,Yes,21,3,2,0,9,6,2,29,12,7,6
60,No,Travel_Rarely,871,Sales,2,5,Marketing,4,Female,50,1,1,Sales Executive,2,Single,4347,16702,1,No,24,4,2,0,16,1,3,33,7,1,10
46,No,Non-Travel,1125,Research & Development,6,2,Life Sciences,3,Female,30,1,3,Sales Representative,2,Divorced,6496,3304,5,Yes,25,3,4,0,29,2,4,35,9,10,12
53,No,Travel_Rarely,981,Research & Development,27,1,Other,1,Female,44,1,3,Sales Representative,2,Single,4523,11312,6,Yes,14,3,4,0,12,1,4,34,8,5,12
30,No,Non-Travel,1339,Research & Development,1,2,Human Resources,4,Female,65,4,3,Manufacturing Director,2,Married,18152,23882,5,Yes,24,3,3,1,29,5,1,3,4,11,6
49,No,Non-Travel,846,Human Resources,15,4,Human Resources,2,Male,76,2,5,Human Resources,3,Married,12289,22595,2,No,23,3,1,2,29,4,4,3,3,10,10
24,No,Travel_Rarely,784,Research & Development,15,3,Marketing,3,Female,83,2,3,Healthcare Representative,4,Married,11316,14547,2,No,19,3,4,1,6,4,2,5,5,9,17
39,No,Travel_Rarely,116,Research & Development,14,2,Other,1,Male,61,4,1,Manufacturing Director,4,Married,10924,7523,1,Yes,11,4,2,3,9,6,2,27,5,9,0
45,No,Non-Travel,469,Research & Development,7,3,Marketing,3,Male,87,4,2,Sales Representative,2,Single,12167,17304,1,No,21,3,4,3,34,0,1,29,12,14,11
19,No,Travel_Rarely,739,Human Resources,5,1,Medical,3,Male,75,4,5,Manufacturing Director,3,Single,9630,10783,4,No,16,3,1,3,1,2,2,26,3,5,2
59,No,Travel_Rarely,954,Human Resources,20,5,Technical Degree,2,Male,83,1,2,Laboratory Technician,2,Married,11556,14815,7,Yes,18,4,3,3,29,0,3,4,7,2,0
23,Yes,Travel_Rarely,1338,Research & Development,25,5,Other,2,Male,62,2,3,Human Resources,2,Married,14494,11979,5,Yes,21,3,1,3,18,2,1,38,4,0,3
45,No,Non-Travel,801,Research & Development,26,3,Technical Degree,4,Female,68,3,4,Research Director,4,Married,3468,23236,8,No,21,4,4,2,38,0,1,34,1,6,5
45,No,Travel_Rarely,106,Sales,16,5,Medical,2,Male,52,3,5,Sales Executive,4,Married,6282,10276,4,No,14,3,3,1,36,4,4,38,8,9,4
37,No,Travel_Rarely,332,Sales,17,2,Technical Degree,1,Male,72,2,3,Sales Representative,2,Single,19111,11010,9,Yes,12,3,3,3,2,5,4,14,10,4,10
47,No,Travel_Rarely,1326,Research & Development,11,3,Life Sciences,4,Female,84,2,5,Human Resources,3,Divorced,10466,2469,3,No,21,3,1,0,24,4,3,18,10,11,12
28,No,Travel_Rarely,1274,Sales,15,4,Technical Degree,1,Male,31,4,4,Research Director,2,Married,6432,25891,8,No,12,3,4,2,33,0,3,29,6,15,10
45,No,Non-Travel,1113,Research & Development,20,2,Medical,1,Male,95,4,1,Research Director,4,Single,18701,22876,9,No,20,3,1,0,21,2,4,37,13,11,5
